Date,Predicted,Actual
2/21/2017,120.940002,122.099998
2/17/2017,120.940002,121.230003
2/16/2017,120.760002,120.720001
2/14/2017,119.68,120
2/8/2017,115.5,115.43
2/6/2017,115.040001,114.18
2/3/2017,113.949997,114.489998
2/1/2017,114.599998,113.209999
1/31/2017,113.599998,113.870003
1/27/2017,115.440002,115.349998
1/26/2017,116.5,115.93
1/24/2017,116.349998,116.480003
1/23/2017,115.349998,114.82
1/20/2017,115.5,115.07
1/6/2017,116.349998,116.300003
1/4/2017,117.230003,116.739998
12/27/2016,117.449997,117.550003
12/23/2016,117.449997,117.480003
12/19/2016,124.099998,123.650002
12/16/2016,124.099998,123
12/15/2016,124.099998,124.550003
12/14/2016,124.099998,123.650002
12/9/2016,121.639999,123.309998
12/6/2016,118.940002,118.410004
11/25/2016,119.43,120.739998
11/23/2016,119.93,119.82
11/11/2016,119.809998,119.18
11/3/2016,117.599998,116.949997
11/2/2016,117.25,118.610001
10/26/2016,115.199997,115.449997
10/19/2016,117.459999,116.82
10/18/2016,117.449997,117.529999
10/17/2016,117.57,116.849998
10/7/2016,117.599998,116
9/22/2016,112.099998,113.660004
9/20/2016,111.699997,110.699997
9/16/2016,110.5,109.879997
8/31/2016,114.849998,115
8/24/2016,115.059998,114.57
8/19/2016,112.349998,113.050003
8/8/2016,113.949997,113.68
8/2/2016,112.349998,112.830002
8/1/2016,113.290001,112.879997
7/26/2016,114.099998,114.260002
7/19/2016,113.099998,113.370003
7/18/2016,114.75,114.139999
7/15/2016,116.349998,115.089996
7/13/2016,115.949997,116.830002
7/7/2016,113.639999,112.699997
6/28/2016,110.5,110.559998
6/24/2016,112.099998,111.449997
6/6/2016,119.68,119.599998
6/3/2016,118.940002,118.900002
5/24/2016,117.599998,119.120003
5/20/2016,115.949997,116.470001
5/18/2016,116.949997,116.519997
5/17/2016,116.5,116.220001
5/12/2016,116.940002,116.360001
5/9/2016,115.5,115.470001
4/27/2016,114.849998,115.480003
4/26/2016,113.949997,114.610001
4/19/2016,114.849998,115.099998
4/18/2016,115.449997,115.589996
4/12/2016,114.099998,114.389999
3/31/2016,115.589996,115.400002
3/23/2016,107.589996,107.660004
3/15/2016,107.769997,107.07
3/14/2016,107.769997,106.32
3/11/2016,107.589996,105.68
3/9/2016,103.18,103.400002
3/8/2016,103.18,102.620003
3/1/2016,103.580002,103.449997
2/26/2016,99.650002,101.120003
2/17/2017,45.470001,45.330002
2/13/2017,45.060001,45.700001
2/7/2017,40.470001,40.049999
2/6/2017,39.75,40.189999
1/23/2017,39.099998,38.529999
1/17/2017,38.970001,38.950001
1/10/2017,37.77,38.380001
1/5/2017,38.02,37.939999
1/3/2017,36.5,36.639999
12/28/2016,36.5,36.43
12/16/2016,37.169998,36.470001
12/15/2016,37.169998,36.990002
12/7/2016,37.169998,37.450001
12/6/2016,36.48,36.700001
11/17/2016,40.470001,39.939999
11/16/2016,38.689999,38.970001
11/14/2016,39.41,37.77
11/7/2016,42.400002,41.09
11/2/2016,42.799999,42.599998
11/1/2016,43.299999,42.599998
10/26/2016,45.470001,44.439999
10/18/2016,44.419998,44.18
10/14/2016,43.790001,43.689999
10/13/2016,43.299999,43.16
10/12/2016,43.299999,43.330002
10/6/2016,44.099998,43.990002
9/29/2016,44.299999,44.209999
9/27/2016,43.790001,44.209999
9/26/2016,44.299999,43.98
9/22/2016,45.470001,44.509998
9/13/2016,43.299999,43.41
9/9/2016,42.799999,42.290001
9/7/2016,43.790001,43.380001
8/30/2016,41.099998,41.580002
8/25/2016,41.049999,40.990002
8/24/2016,40.27,40.669998
8/22/2016,40.02,40.119999
8/15/2016,41.27,41.48
8/5/2016,41.25,40.560001
8/3/2016,39.310001,40.380001
8/1/2016,40.470001,40.07
7/29/2016,40.27,40.16
7/27/2016,41.099998,40.889999
7/19/2016,41.27,41.52
7/13/2016,42.799999,42.110001
7/11/2016,41.27,42.200001
7/8/2016,41.25,41.290001
7/7/2016,40.27,40.389999
7/5/2016,39.75,40.150002
6/16/2016,39.02,39.029999
6/13/2016,38.02,37.630001
5/26/2016,38.66,39.099998
5/25/2016,38.970001,38.950001
5/19/2016,37.77,37.799999
5/18/2016,38.130001,38.470001
5/17/2016,39.02,38.119999
5/11/2016,36.830002,37.110001
5/9/2016,37.91,37.150002
5/5/2016,34.57,34.91
4/25/2016,34.580002,34.919998
4/22/2016,35.209999,34.650002
4/21/2016,35.209999,35.189999
4/20/2016,35.209999,35.25
4/1/2016,34.470001,34.419998
3/31/2016,34.470001,33.84
3/30/2016,33.970001,34.07
3/21/2016,32.32,32.040001
3/14/2016,32.209999,32.41
3/10/2016,31.52,31.25
3/2/2016,32.32,32.009998
2/26/2016,32.139999,31.889999
