Date,Predicted,Actual
2/21/2017,61.66,61.830002
2/17/2017,61.66,61.77
2/16/2017,60.799999,61.48
2/13/2017,60.419998,60.509998
2/8/2017,60.419998,60.52
2/7/2017,60.669998,60.560001
1/27/2017,60.169998,60
1/17/2017,61.27,61.860001
1/13/2017,61.66,61.990002
1/9/2017,64.099998,64.209999
1/5/2017,63.27,63.77
1/4/2017,63.389999,63.290001
12/30/2016,62.5,62.619999
12/20/2016,62.220001,62.16
12/19/2016,62.709999,62.220001
12/15/2016,61.66,62.02
12/13/2016,61.669998,61.990002
12/8/2016,60.700001,60.900002
12/7/2016,60.18,59.990002
11/25/2016,61,60.509998
11/21/2016,60.889999,60.419998
11/17/2016,61.27,61.700001
11/14/2016,62.869999,62.970001
11/11/2016,63.32,63.099998
11/10/2016,62.82,64
11/9/2016,61.139999,62.639999
11/8/2016,59.889999,58.810001
11/7/2016,59.16,58.91
11/4/2016,55.889999,56.040001
11/2/2016,57,56.790001
11/1/2016,55.32,56.450001
10/21/2016,60.970001,60.98
10/17/2016,61,60.139999
10/13/2016,61.02,61.150002
10/10/2016,63.27,63.310001
10/7/2016,63.07,62.93
9/28/2016,64.349998,64.220001
9/27/2016,64.099998,64.57
9/26/2016,64.349998,64.07
9/22/2016,64.720001,65.080002
9/20/2016,63.07,63.279999
9/19/2016,63.27,62.91
9/15/2016,63.32,63.349998
9/13/2016,63.32,63.34
9/9/2016,63.32,63.360001
9/7/2016,64.349998,64.970001
9/1/2016,64.099998,64.029999
8/26/2016,64.349998,64.610001
8/24/2016,65.5,65.059998
8/23/2016,66.769997,66.169998
8/22/2016,66.949997,67.010002
8/12/2016,67.099998,67.190002
8/10/2016,67.099998,66.43
8/5/2016,67.099998,66.540001
8/4/2016,67.099998,66.099998
8/2/2016,67.099998,66.779999
8/1/2016,67.099998,66.940002
7/27/2016,64.349998,64.900002
7/26/2016,64.349998,64.449997
7/22/2016,64.099998,63.810001
7/21/2016,63.32,63.889999
7/18/2016,63.27,63.560001
7/6/2016,62.709999,63.369999
6/29/2016,60.52,61.810001
6/28/2016,59.889999,59.990002
6/22/2016,60.400002,60.389999
6/17/2016,61,60.009998
6/14/2016,59.43,59.900002
6/9/2016,60.52,60.75
6/7/2016,63.07,63.099998
6/6/2016,62.709999,62.82
6/1/2016,62.5,62.830002
5/26/2016,61.91,61.900002
5/25/2016,60.970001,61.220001
5/23/2016,59.889999,59.299999
5/19/2016,59.889999,59.279999
5/11/2016,63.389999,62.700001
5/5/2016,61.66,62.34
5/3/2016,60.799999,61.77
5/2/2016,60.799999,61.439999
4/18/2016,59.98,59.880001
4/14/2016,59.889999,59.279999
4/13/2016,59.889999,59.060001
4/8/2016,59.889999,58.470001
4/7/2016,59.889999,59.299999
4/5/2016,59.889999,58.540001
4/4/2016,59.889999,59.209999
4/1/2016,57,57.419998
3/28/2016,55.889999,56.110001
3/17/2016,55.32,55.32
3/10/2016,57.049999,56.23
3/9/2016,56.57,56.389999
3/7/2016,56.57,56.400002
3/4/2016,57.049999,56.150002
2/26/2016,55.889999,56
